168,花冠裂片不扭捩；子房通常深 4 裂，成熟心皮成为 4 个小坚果，稀连合成核果,紫草科 Borraglnaceae
168,花冠裂片扭捩；成熟心皮 2 个，分离或 1 个深裂成 2 个角果状,169
169,雄蕊合生；花粉连合呈成对的花粉块，花有副花冠,萝藦科Asclopiadaceae
169,雄蕊离生，花粉不连合成花粉块,夹竹桃科Apocynaceae
170,子房 1 室,171
170,子房 2-10 室,173
171,果实为瘦果或有 1 颗种子的蒴果；花成穗状花序；花冠 4 裂；雄蕊 4 枚；叶基生,车前科 Plantaglnaceae
171,果实为蒴果，有数颗最多数种子,172
172,雄蕊与花冠裂片同数；花冠裂片通常扭捩，稀为覆瓦状排列；蒴果短,龙胆科Gentianaceae
172,雄蕊少于花冠裂片或与之同数而一部份退化，花冠不整齐，裂片不扭捩；蒴果瘦长，长为花冠的 2 倍,苦苣苔科 Geoneriaceae
173,缠绕植物，有时为寄生无叶缠绕草本,旋花科Convolvulaceae
173,直立草本或灌木,174
174,叶通常对生，且在两叶间有托叶所形成的连接线或附属物；雄蕊着生花冠上,马钱科 Loganiaceae
174,叶互生，假设对生那么无托叶形成的连接线,175
175,雄蕊与花冠分离或近分离,176
175,雄蕊着生花冠筒上,177
176,雄蕊 5 枚等长；花药顶孔开裂，花冠整齐,杜鹃花科Ericace
176,雄蕊 2 枚，假设为 5 枚，那么其中 3 枚较短；花药不为顶孔开裂；花冠近整齐,玄参科 Scrophulariaceae
177,雄蕊 4 枚；花冠不整齐,178
177,雄蕊 5 枚或较多,179
178,子房 2-3 室，有 4 颗胚珠；果实为核果或浆果,马鞭草科Verbenaceae
178,子房 1 室，有 1 颗胚珠；果实为瘦果,透骨草科Phrymaceae
179,果实有 1 或 4 颗种子状小坚果,紫草科 Borraginaceae
179,果实为蒴果或浆果,180
180,子房 3 室，具 3 个柱头，着生齿轮状花盘上,花荵科Polemoniaceae
180,子房非 3 室而为 2-4 室或不完全的 1-4 室,181
181,种子通常 4 颗；花冠漏斗状或近轮状；果实多为蒴果,旋花科Convoivulaceae
181,种子多数，花冠筒状或近辐射状，果实多为浆果或蒴果,茄科Solanaceae
182,子房 4 裂；果实为 4 个小坚果；花轮生，茎 4 棱形,唇形科 Labiatae
182,子房不 4 裂,183
183,雄蕊 2 枚，乔木或灌木，叶对生，稀互生,木犀科Oleaceae
183,雄蕊 4 枚；草本，叶通常互生，稀对生,玄参科Scrophulariaceae
184,子房 4 裂，每室有 1 颗胚珠；花轮生，茎 4 棱形,唇形科 Labiatae
184,子房不 4 裂，每室有 2 最多数胚珠,185
185,子房 1 室,186
185,子房 2 最多室,187
186,无叶寄生草本，植株黄褐色，肉质,列当科Orobanchaceae
186, 食 虫 植 物 、 叶 全 缘 或 细 裂 ， 有 时 在 叶 的 裂 片 间 有 捕 虫 囊 , 狸 藻 科Lentibulariaceae
187,种子有大翅；蒴果长，乔木或大藤本,紫葳科Bignoniaceae
187,种子有或无大翅，草本或灌木,188
188,种子少数，生于钩状的中轴上，花常有显著苞片,爵床科Acanthaceae
188,种子多数，不生于钩状中轴上,189
189,种子无大翅，有胚乳；蒴果短,玄参科Scrophulariaceae
189,种子有大翅，无胚乳；蒴果狭长,紫葳科Bignoniaceae
190,攀援植物，有卷须；花单性；雄蕊合生，常3 枚，稀 4 枚或 5 枚而分离；子房具侧膜胎座；种子多数，横生,葫芦科 Cucurbitaceae
190,直立或攀援植物，无卷须；花多为两性，种子通常不横生,191
191,雄蕊分离,192
191,雄蕊以花药连合成环状包围花柱,198
192,雄蕊 5-12 枚；子房 3-5 室；花柱 3-5 个，分离；花成有梗的头状花序,五福花科Adoxaceae
192,雄蕊 5 枚，稀 1-4 枚,193
193,雄蕊与花冠分离或近分离；果实为蒴果或浆果，顶端常有不脱落的花萼,桔梗科Campanulaceae
193,雄蕊插生花冠上,194
194,雄蕊 1-4 枚，较花冠裂片少,195
194,雄蕊 4-5 枚，与花冠裂片同数,196
195,子房 3 室；花冠管基部常有囊或距；花序无总苞,败酱科Valerianaceae
195,子房 1 室；花冠管基部无距；花序有显著总苞,川续断科Dipsacaceae
196,子房 2-5 室,197
196,子房 1-3 室；花成紧密有总苞的头状花序或聚伞花序，有副萼,川续断科Dipsacaceae
197,叶对生，无或有微小托叶,忍冬科Caprifoliaceae
197,叶对生，有显著托叶，或轮生而无托叶,茜草科Rubiaceae
198,花不成头状花序；子房 2-5 室，有多数胚珠；果实为蒴果或浆果,桔梗科Campanulaceae
198,花成紧密有总苞的头状花序，子房 1 室，每室有 1 颗胚珠；果实为瘦果,菊科Compositae
